flash_episode_number,flash_us_viewers,arrow_episode_number,arrow_us_viewers
1,4.83,1,2.84
2,4.27,2,2.32
3,3.59,3,2.55
4,3.53,4,2.49
5,3.46,5,2.73
6,3.73,6,2.6
7,3.47,7,2.64
8,4.34,8,3.92
9,4.66,9,3.06
